week_key,season,week,contestant,estimated_fan_vote,fan_rank,method
1_1,1,1,John O'Hurley,0.16666666666666669,1,constraint_optimization
1_1,1,1,Kelly Monaco,0.16666666666666669,2,constraint_optimization
1_1,1,1,Evander Holyfield,0.16666666666666669,3,constraint_optimization
1_1,1,1,Rachel Hunter,0.16666666666666669,4,constraint_optimization
1_1,1,1,Joey McIntyre,0.16666666666666669,5,constraint_optimization
1_1,1,1,Trista Sutter,0.16666666666666669,6,constraint_optimization
1_2,1,2,John O'Hurley,0.16666515693766204,6,constraint_optimization
1_2,1,2,Kelly Monaco,0.16666606876859832,5,constraint_optimization
1_2,1,2,Evander Holyfield,0.16666751657642698,2,constraint_optimization
1_2,1,2,Rachel Hunter,0.16666658140037124,4,constraint_optimization
1_2,1,2,Joey McIntyre,0.16666705627723216,3,constraint_optimization
1_2,1,2,Trista Sutter,0.16666762003970936,1,constraint_optimization
1_3,1,3,John O'Hurley,0.2836879432624113,2,constraint_optimization
1_3,1,3,Kelly Monaco,0.14184397163120566,4,constraint_optimization
1_3,1,3,Evander Holyfield,0.0070921985815602835,5,constraint_optimization
1_3,1,3,Rachel Hunter,0.35460992907801414,1,constraint_optimization
1_3,1,3,Joey McIntyre,0.21276595744680848,3,constraint_optimization
1_4,1,4,John O'Hurley,0.2500000000490785,3,constraint_optimization
1_4,1,4,Kelly Monaco,0.2499999992168991,4,constraint_optimization
1_4,1,4,Rachel Hunter,0.25000000068402733,1,constraint_optimization
1_4,1,4,Joey McIntyre,0.25000000004999506,2,constraint_optimization
1_5,1,5,John O'Hurley,0.5928853754940712,1,constraint_optimization
1_5,1,5,Kelly Monaco,0.3952569169960474,2,constraint_optimization
1_5,1,5,Joey McIntyre,0.011857707509881424,3,constraint_optimization
1_6,1,6,John O'Hurley,0.5,1,constraint_optimization
1_6,1,6,Kelly Monaco,0.5,2,constraint_optimization
2_1,2,1,Tatum O'Neal,0.1660516605166052,2,constraint_optimization
2_1,2,1,Tia Carrere,0.0922509225092251,6,constraint_optimization
2_1,2,1,George Hamilton,0.05535055350553506,8,constraint_optimization
2_1,2,1,Lisa Rinna,0.07380073800738009,7,constraint_optimization
2_1,2,1,Stacy Keibler,0.12915129151291516,4,constraint_optimization
2_1,2,1,Jerry Rice,0.11070110701107012,5,constraint_optimization
2_1,2,1,Giselle Fernandez,0.1660516605166052,3,constraint_optimization
2_1,2,1,Master P,0.018450184501845022,9,constraint_optimization
2_1,2,1,Drew Lachey,0.1845018450184502,1,constraint_optimization
2_1,2,1,Kenny Mayne,0.0036900369003690045,10,constraint_optimization
2_2,2,2,Tatum O'Neal,0.004074241738343142,9,constraint_optimization
2_2,2,2,Tia Carrere,0.11317338162064283,6,constraint_optimization
2_2,2,2,George Hamilton,0.11317338162064283,5,constraint_optimization
2_2,2,2,Lisa Rinna,0.06790402897238569,7,constraint_optimization
2_2,2,2,Stacy Keibler,0.2037120869171571,1,constraint_optimization
2_2,2,2,Jerry Rice,0.13580805794477138,4,constraint_optimization
2_2,2,2,Giselle Fernandez,0.15844273426889996,3,constraint_optimization
2_2,2,2,Master P,0.022634676324128564,8,constraint_optimization
2_2,2,2,Drew Lachey,0.1810774105930285,2,constraint_optimization
2_3,2,3,Tia Carrere,0.17564402810304452,3,constraint_optimization
2_3,2,3,George Hamilton,0.117096018735363,5,constraint_optimization
2_3,2,3,Lisa Rinna,0.14637002341920377,4,constraint_optimization
2_3,2,3,Stacy Keibler,0.234192037470726,1,constraint_optimization
2_3,2,3,Jerry Rice,0.0585480093676815,6,constraint_optimization
2_3,2,3,Giselle Fernandez,0.004683840749414521,8,constraint_optimization
2_3,2,3,Master P,0.02927400468384075,7,constraint_optimization
2_3,2,3,Drew Lachey,0.234192037470726,2,constraint_optimization
2_4,2,4,Tia Carrere,0.14214641080312723,4,constraint_optimization
2_4,2,4,George Hamilton,0.07107320540156362,6,constraint_optimization
2_4,2,4,Lisa Rinna,0.21321961620469085,3,constraint_optimization
2_4,2,4,Stacy Keibler,0.21321961620469085,2,constraint_optimization
2_4,2,4,Jerry Rice,0.10660980810234542,5,constraint_optimization
2_4,2,4,Master P,0.0049751243781094535,7,constraint_optimization
2_4,2,4,Drew Lachey,0.24875621890547267,1,constraint_optimization
2_5,2,5,Tia Carrere,0.005964214711729622,6,constraint_optimization
2_5,2,5,George Hamilton,0.14910536779324055,4,constraint_optimization
2_5,2,5,Lisa Rinna,0.19880715705765406,3,constraint_optimization
2_5,2,5,Stacy Keibler,0.2982107355864811,1,constraint_optimization
2_5,2,5,Jerry Rice,0.09940357852882703,5,constraint_optimization
2_5,2,5,Drew Lachey,0.2485089463220676,2,constraint_optimization
2_6,2,6,George Hamilton,0.007220216606498195,5,constraint_optimization
2_6,2,6,Lisa Rinna,0.18050541516245489,3,constraint_optimization
2_6,2,6,Stacy Keibler,0.36101083032490977,1,constraint_optimization
2_6,2,6,Jerry Rice,0.09025270758122744,4,constraint_optimization
2_6,2,6,Drew Lachey,0.36101083032490977,2,constraint_optimization
2_7,2,7,Lisa Rinna,0.00881057268722467,4,constraint_optimization
2_7,2,7,Stacy Keibler,0.44052863436123346,1,constraint_optimization
2_7,2,7,Jerry Rice,0.11013215859030837,3,constraint_optimization
2_7,2,7,Drew Lachey,0.44052863436123346,2,constraint_optimization
2_8,2,8,Stacy Keibler,0.3333333333333333,1,constraint_optimization
2_8,2,8,Jerry Rice,0.3333333333333333,2,constraint_optimization
2_8,2,8,Drew Lachey,0.3333333333333333,3,constraint_optimization
3_1,3,1,Harry Hamlin,0.09098823372903339,2,constraint_optimization
3_1,3,1,Vivica A. Fox,0.09091235547660649,7,constraint_optimization
3_1,3,1,Monique Coleman,0.09091235547660649,6,constraint_optimization
3_1,3,1,Joey Lawrence,0.0909123554766066,4,constraint_optimization
3_1,3,1,Mario Lopez,0.09091235547660646,9,constraint_optimization
3_1,3,1,Emmitt Smith,0.09091235547660648,8,constraint_optimization
3_1,3,1,Shanna Moakler,0.09091235547660657,5,constraint_optimization
3_1,3,1,Willa Ford,0.09091235547660671,3,constraint_optimization
3_1,3,1,Sara Evans,0.09089051108583453,10,constraint_optimization
3_1,3,1,Jerry Springer,0.09071372105398876,11,constraint_optimization
3_1,3,1,Tucker Carlson,0.09102104579489752,1,constraint_optimization
3_2,3,2,Harry Hamlin,0.09995127108055896,6,constraint_optimization
3_2,3,2,Vivica A. Fox,0.09995127108055901,3,constraint_optimization
3_2,3,2,Monique Coleman,0.09995127108055898,4,constraint_optimization
3_2,3,2,Joey Lawrence,0.09995127108055897,5,constraint_optimization
3_2,3,2,Mario Lopez,0.09995127108055891,9,constraint_optimization
3_2,3,2,Emmitt Smith,0.09995127108055904,2,constraint_optimization
3_2,3,2,Shanna Moakler,0.09317317654732936,10,constraint_optimization
3_2,3,2,Willa Ford,0.09995127108055896,7,constraint_optimization
3_2,3,2,Sara Evans,0.09995127108055894,8,constraint_optimization
3_2,3,2,Jerry Springer,0.10721665480819893,1,constraint_optimization
3_3,3,3,Harry Hamlin,0.10365286462735086,9,constraint_optimization
3_3,3,3,Vivica A. Fox,0.1110584628859462,3,constraint_optimization
3_3,3,3,Monique Coleman,0.11105846288594617,4,constraint_optimization
3_3,3,3,Joey Lawrence,0.11103443596698975,7,constraint_optimization
3_3,3,3,Mario Lopez,0.11105846365280597,2,constraint_optimization
3_3,3,3,Emmitt Smith,0.11914561825053926,1,constraint_optimization
3_3,3,3,Willa Ford,0.11105845968928561,6,constraint_optimization
3_3,3,3,Sara Evans,0.11105845968928577,5,constraint_optimization
3_3,3,3,Jerry Springer,0.11087477235185045,8,constraint_optimization
3_4,3,4,Vivica A. Fox,0.11456083279237317,8,constraint_optimization
3_4,3,4,Monique Coleman,0.1247296617765455,4,constraint_optimization
3_4,3,4,Joey Lawrence,0.12472966048727821,7,constraint_optimization
3_4,3,4,Mario Lopez,0.12472966048727825,6,constraint_optimization
3_4,3,4,Emmitt Smith,0.1247296617765455,5,constraint_optimization
3_4,3,4,Willa Ford,0.12472966177654557,3,constraint_optimization
3_4,3,4,Sara Evans,0.1357628529943934,1,constraint_optimization
3_4,3,4,Jerry Springer,0.12602800790904037,2,constraint_optimization
3_5,3,5,Monique Coleman,0.14288071049889134,4,constraint_optimization
3_5,3,5,Joey Lawrence,0.14314123026203954,3,constraint_optimization
3_5,3,5,Mario Lopez,0.14281494153567553,5,constraint_optimization
3_5,3,5,Emmitt Smith,0.14281483942130424,6,constraint_optimization
3_5,3,5,Willa Ford,0.1310658227207401,7,constraint_optimization
3_5,3,5,Sara Evans,0.14864204720524998,1,constraint_optimization
3_5,3,5,Jerry Springer,0.1486404083560993,2,constraint_optimization
3_6,3,6,Monique Coleman,0.2,1,constraint_optimization
3_6,3,6,Joey Lawrence,0.2,2,constraint_optimization
3_6,3,6,Mario Lopez,0.2,3,constraint_optimization
3_6,3,6,Emmitt Smith,0.2,4,constraint_optimization
3_6,3,6,Jerry Springer,0.2,5,constraint_optimization
3_7,3,7,Monique Coleman,0.19998276428604048,3,constraint_optimization
3_7,3,7,Joey Lawrence,0.19995998018422406,4,constraint_optimization
3_7,3,7,Mario Lopez,0.19998653754072274,2,constraint_optimization
3_7,3,7,Emmitt Smith,0.19995998011865357,5,constraint_optimization
3_7,3,7,Jerry Springer,0.20011073787035893,1,constraint_optimization
3_8,3,8,Monique Coleman,0.25000620861337014,1,constraint_optimization
3_8,3,8,Joey Lawrence,0.24999748191463966,3,constraint_optimization
3_8,3,8,Mario Lopez,0.2499974819146396,4,constraint_optimization
3_8,3,8,Emmitt Smith,0.24999882755735056,2,constraint_optimization
3_9,3,9,Joey Lawrence,0.332421482182245,3,constraint_optimization
