feature,importance
last_week,0.8031618465466553
season,0.04742180525416754
season_scaled,0.04662197197839188
season.1,0.027396472755860712
season_group,0.0251850420147274
partner_id,0.015481657797923917
age_scaled,0.010524243385343543
age,0.008125965017832878
industry_Athlete,0.00790283020076597
voting_phase,0.002556925220753346
industry_Radio Personality,0.0018085974929394394
industry_Tv Personality,0.0007815458333735336
industry_Actor/Actress,0.0006608893762671859
industry_Singer/Rapper,0.0006427606612976653
industry_Politician,0.0003935751095060643
industry_Comedian,0.00033726292759834927
industry_Model,0.00031829987676024326
industry_Conservationist,0.0002917370298198786
industry_Social Media Personality,0.00019123524719216655
industry_Racing Driver,0.00011434862915597069
industry_Magician,3.9269712986536476e-05
industry_Entrepreneur,2.637817941825235e-05
industry_Sports Broadcaster,1.5339751262238207e-05
industry_Astronaut,0.0
industry_Beauty Pagent,0.0
industry_Con Artist,0.0
industry_Fitness Instructor,0.0
industry_Fashion Designer,0.0
industry_News Anchor,0.0
industry_Military,0.0
industry_Journalist,0.0
industry_Musician,0.0
industry_Motivational Speaker,0.0
industry_Producer,0.0
